               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  85,            0.034608,            0.055399,                   0,             0.94449,             0.96684,              0.9652,             0.58589,            0.029934,            0.037493,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.034342,             0.07562,                   0,              0.9518,             0.96591,             0.96551,             0.62476,            0.028655,            0.037088,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.032588,            0.062094,                   0,             0.95405,             0.94386,             0.96388,             0.61844,            0.028527,            0.036827,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.033226,            0.050558,                   0,             0.95405,             0.94386,             0.96388,             0.61844,            0.028527,            0.036827,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.032519,            0.064354,                   0,             0.95391,             0.94072,             0.96634,             0.63352,            0.028071,            0.036488,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.031385,            0.049239,                   0,             0.96504,             0.94114,             0.96857,             0.63729,             0.02797,            0.036488,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.031236,            0.056476,                   0,             0.96517,              0.9446,             0.96922,             0.63655,            0.026861,            0.036076,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.030425,             0.06195,                   0,             0.96517,              0.9446,             0.96922,             0.63655,            0.026861,            0.036076,                   0,            0.000991,            0.000991,            0.000991
                  93,             0.03428,             0.05689,                   0,             0.96507,             0.94183,             0.96986,             0.63938,            0.026788,            0.035992,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.031729,            0.057345,                   0,             0.96505,             0.94147,             0.96995,             0.63112,            0.026704,            0.035971,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.031211,            0.067628,                   0,             0.97654,             0.94622,             0.97078,             0.63752,            0.026489,            0.035913,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.031606,            0.052888,                   0,             0.97654,             0.94622,             0.97078,             0.63752,            0.026489,            0.035913,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.030613,            0.055526,                   0,             0.97651,             0.94492,             0.97036,             0.63594,            0.026466,            0.035849,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.032163,            0.060237,                   0,             0.97643,             0.94151,             0.96904,             0.63272,            0.026376,            0.035797,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.031494,            0.055206,                   0,             0.97642,             0.94118,             0.96942,             0.63385,             0.02635,            0.035786,                   0,            0.000298,            0.000298,            0.000298
